EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : Sunshine in 0.1 Hours
30-34 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132728) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   SS, Q_SS
  4970,132728,19610612,   52,    0
  4970,132728,19610613,   20,    0
  4970,132728,19610614,   81,    0
  4970,132728,19610615,  155,    0
  4970,132728,19610616,  118,    0
  4970,132728,19610617,   91,    0
  4970,132728,19610618,  129,    0
  4970,132728,19610619,   65,    0
  4970,132728,19610620,  121,    0
  4970,132728,19610621,  143,    0
  4970,132728,19610622,  126,    0
  4970,132728,19610623,  157,    0
  4970,132728,19610624,  162,    0
  4970,132728,19610625,  124,    0
  4970,132728,19610626,  112,    0
  4970,132728,19610627,   45,    0
  4970,132728,19610628,  110,    0
  4970,132728,19610629,  152,    0
  4970,132728,19610630,  155,    0
  4970,132728,19610701,  156,    0
  4970,132728,19610702,  149,    0
  4970,132728,19610703,  101,    0
  4970,132728,19610704,   35,    0
  4970,132728,19610705,   32,    0
  4970,132728,19610706,  127,    0
  4970,132728,19610707,  115,    0
  4970,132728,19610708,   27,    0
  4970,132728,19610709,   38,    0
  4970,132728,19610710,   30,    0
  4970,132728,19610711,  119,    0
  4970,132728,19610712,   81,    0
  4970,132728,19610713,   11,    0
  4970,132728,19610714,   32,    0
  4970,132728,19610715,   87,    0
  4970,132728,19610716,   18,    0
  4970,132728,19610717,   21,    0
  4970,132728,19610718,   32,    0
  4970,132728,19610719,   71,    0
  4970,132728,19610720,   17,    0
  4970,132728,19610721,  102,    0
  4970,132728,19610722,   40,    0
  4970,132728,19610723,   22,    0
  4970,132728,19610724,  125,    0
  4970,132728,19610725,  120,    0
  4970,132728,19610726,  121,    0
  4970,132728,19610727,    0,    0
  4970,132728,19610728,   16,    0
  4970,132728,19610729,   40,    0
  4970,132728,19610730,   36,    0
  4970,132728,19610731,   95,    0
  4970,132728,19610801,  118,    0
  4970,132728,19610802,   71,    0
  4970,132728,19610803,   79,    0
  4970,132728,19610804,   97,    0
  4970,132728,19610805,  134,    0
  4970,132728,19610806,   59,    0
  4970,132728,19610807,   65,    0
  4970,132728,19610808,   73,    0
  4970,132728,19610809,   72,    0
  4970,132728,19610810,    0,    0
  4970,132728,19610811,  104,    0
  4970,132728,19610812,   10,    0
  4970,132728,19610813,   99,    0
  4970,132728,19610814,   81,    0
  4970,132728,19610815,    1,    0
  4970,132728,19610816,   76,    0
  4970,132728,19610817,   51,    0
  4970,132728,19610818,   45,    0
  4970,132728,19610819,   30,    0
  4970,132728,19610820,   19,    0
  4970,132728,19610821,   85,    0
  4970,132728,19610822,   41,    0
  4970,132728,19610823,   13,    0
  4970,132728,19610824,   14,    0
  4970,132728,19610825,   54,    0
  4970,132728,19610826,   94,    0
  4970,132728,19610827,   87,    0
  4970,132728,19610828,  108,    0
  4970,132728,19610829,  130,    0
  4970,132728,19610830,  125,    0
  4970,132728,19610831,  126,    0
  4970,132728,19610901,  124,    0
  4970,132728,19610902,  120,    0
  4970,132728,19610903,  104,    0
  4970,132728,19610904,   82,    0
  4970,132728,19610905,   19,    0
  4970,132728,19610906,    0,    0
  4970,132728,19610907,   46,    0
  4970,132728,19610908,    0,    0
  4970,132728,19610909,   26,    0
  4970,132728,19610910,  114,    0
  4970,132728,19610911,   48,    0
  4970,132728,19610912,   51,    0
  4970,132728,19610913,   75,    0
  4970,132728,19610914,   19,    0
  4970,132728,19610915,  101,    0
  4970,132728,19610916,  118,    0
  4970,132728,19610917,  117,    0
  4970,132728,19610918,  109,    0
  4970,132728,19610919,  115,    0
  4970,132728,19610920,   91,    0
  4970,132728,19610921,    0,    0
  4970,132728,19610922,   76,    0
  4970,132728,19610923,  109,    0
  4970,132728,19610924,  105,    0
  4970,132728,19610925,   32,    0
  4970,132728,19610926,   82,    0
  4970,132728,19610927,   46,    0
  4970,132728,19610928,   51,    0
  4970,132728,19610929,   39,    0
  4970,132728,19610930,   15,    0
  4970,132728,19611001,   12,    0
  4970,132728,19611002,    0,    0
  4970,132728,19611003,    5,    0
  4970,132728,19611004,   38,    0
  4970,132728,19611005,   92,    0
  4970,132728,19611006,   77,    0
  4970,132728,19611007,   32,    0
  4970,132728,19611008,   40,    0
  4970,132728,19611009,  100,    0
  4970,132728,19611010,   98,    0
  4970,132728,19611011,   96,    0
  4970,132728,19611012,   97,    0
  4970,132728,19611013,   69,    0
  4970,132728,19611014,   98,    0
  4970,132728,19611015,   98,    0
  4970,132728,19611016,    0,    0
  4970,132728,19611017,    0,    0
  4970,132728,19611018,    1,    0
  4970,132728,19611019,    4,    0
  4970,132728,19611020,   78,    0
  4970,132728,19611021,   97,    0
  4970,132728,19611022,   54,    0
  4970,132728,19611023,    0,    0
  4970,132728,19611024,   61,    0
  4970,132728,19611025,    0,    0
  4970,132728,19611026,    0,    0
  4970,132728,19611027,    1,    0
  4970,132728,19611028,   62,    0
  4970,132728,19611029,   16,    0
  4970,132728,19611030,   77,    0
  4970,132728,19611031,   20,    0
  4970,132728,19611101,    2,    0
  4970,132728,19611102,   10,    0
  4970,132728,19611103,    1,    0
  4970,132728,19611104,    8,    0
  4970,132728,19611105,   17,    0
  4970,132728,19611106,   45,    0
  4970,132728,19611107,    0,    0
  4970,132728,19611108,    3,    0
  4970,132728,19611109,    0,    0
  4970,132728,19611110,    4,    0
  4970,132728,19611111,   34,    0
  4970,132728,19611112,    0,    0
  4970,132728,19611113,    0,    0
  4970,132728,19611114,    0,    0
  4970,132728,19611115,    0,    0
  4970,132728,19611116,    0,    0
  4970,132728,19611117,    3,    0
  4970,132728,19611118,   33,    0
  4970,132728,19611119,   35,    0
  4970,132728,19611120,   83,    0
  4970,132728,19611121,   83,    0
  4970,132728,19611122,   76,    0
  4970,132728,19611123,   60,    0
  4970,132728,19611124,    0,    0
  4970,132728,19611125,    0,    0
  4970,132728,19611126,    0,    0
  4970,132728,19611127,    3,    0
  4970,132728,19611128,    0,    0
  4970,132728,19611129,   61,    0
  4970,132728,19611130,    0,    0
  4970,132728,19611201,    0,    0
  4970,132728,19611202,   45,    0
  4970,132728,19611203,   18,    0
  4970,132728,19611204,    0,    0
  4970,132728,19611205,    8,    0
  4970,132728,19611206,   54,    0
  4970,132728,19611207,    0,    0
  4970,132728,19611208,   36,    0
  4970,132728,19611209,    0,    0
  4970,132728,19611210,    0,    0
  4970,132728,19611211,    0,    0
  4970,132728,19611212,    0,    0
  4970,132728,19611213,    0,    0
  4970,132728,19611214,    0,    0
  4970,132728,19611215,   64,    0
  4970,132728,19611216,   46,    0
  4970,132728,19611217,   75,    0
  4970,132728,19611218,   73,    0
  4970,132728,19611219,   76,    0
  4970,132728,19611220,    0,    0
  4970,132728,19611221,    0,    0
  4970,132728,19611222,    2,    0
  4970,132728,19611223,   14,    0
  4970,132728,19611224,   67,    0
  4970,132728,19611225,   74,    0
  4970,132728,19611226,    0,    0
  4970,132728,19611227,    0,    0
  4970,132728,19611228,    0,    0
  4970,132728,19611229,   32,    0
  4970,132728,19611230,    0,    0
  4970,132728,19611231,    0,    0
  4970,132728,19620101,    0,    0
  4970,132728,19620102,   41,    0
  4970,132728,19620103,   68,    0
  4970,132728,19620104,   62,    0
  4970,132728,19620105,   42,    0
  4970,132728,19620106,    0,    0
  4970,132728,19620107,    5,    0
  4970,132728,19620108,   41,    0
  4970,132728,19620109,    0,    0
  4970,132728,19620110,   22,    0
  4970,132728,19620111,    0,    0
  4970,132728,19620112,    0,    0
  4970,132728,19620113,    0,    0
  4970,132728,19620114,    0,    0
  4970,132728,19620115,    4,    0
  4970,132728,19620116,   10,    0
  4970,132728,19620117,    0,    0
  4970,132728,19620118,    0,    0
  4970,132728,19620119,   42,    0
  4970,132728,19620120,    0,    0
  4970,132728,19620121,    0,    0
  4970,132728,19620122,   22,    0
  4970,132728,19620123,    1,    0
  4970,132728,19620124,    1,    0
  4970,132728,19620125,    1,    0
  4970,132728,19620126,    0,    0
  4970,132728,19620127,    9,    0
  4970,132728,19620128,   12,    0
  4970,132728,19620129,   62,    0
  4970,132728,19620130,   61,    0
  4970,132728,19620131,   83,    0
  4970,132728,19620201,    0,    0
  4970,132728,19620202,   18,    0
  4970,132728,19620203,   27,    0
  4970,132728,19620204,    0,    0
  4970,132728,19620205,   11,    0
  4970,132728,19620206,    0,    0
  4970,132728,19620207,    0,    0
  4970,132728,19620208,    0,    0
  4970,132728,19620209,   46,    0
  4970,132728,19620210,   89,    0
  4970,132728,19620211,   75,    0
  4970,132728,19620212,    0,    0
  4970,132728,19620213,    2,    0
  4970,132728,19620214,    3,    0
  4970,132728,19620215,   48,    0
  4970,132728,19620216,    0,    0
  4970,132728,19620217,   31,    0
  4970,132728,19620218,   15,    0
  4970,132728,19620219,    0,    0
  4970,132728,19620220,    0,    0
  4970,132728,19620221,   65,    0
  4970,132728,19620222,   11,    0
  4970,132728,19620223,   62,    0
  4970,132728,19620224,   80,    0
  4970,132728,19620225,   58,    0
  4970,132728,19620226,   40,    0
