EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132736) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   FG, Q_FG
  4970,132736,19680602,-9999,    9
  4970,132736,19680603,-9999,    9
  4970,132736,19680604,-9999,    9
  4970,132736,19680605,-9999,    9
  4970,132736,19680606,-9999,    9
  4970,132736,19680607,-9999,    9
  4970,132736,19680608,-9999,    9
  4970,132736,19680609,-9999,    9
  4970,132736,19680610,-9999,    9
  4970,132736,19680611,-9999,    9
  4970,132736,19680612,-9999,    9
  4970,132736,19680613,-9999,    9
  4970,132736,19680614,-9999,    9
  4970,132736,19680615,-9999,    9
  4970,132736,19680616,-9999,    9
  4970,132736,19680617,-9999,    9
  4970,132736,19680618,-9999,    9
  4970,132736,19680619,-9999,    9
  4970,132736,19680620,-9999,    9
  4970,132736,19680621,-9999,    9
  4970,132736,19680622,-9999,    9
  4970,132736,19680623,-9999,    9
  4970,132736,19680624,-9999,    9
  4970,132736,19680625,-9999,    9
  4970,132736,19680626,-9999,    9
  4970,132736,19680627,-9999,    9
  4970,132736,19680628,-9999,    9
  4970,132736,19680629,-9999,    9
  4970,132736,19680630,-9999,    9
  4970,132736,19680701,-9999,    9
  4970,132736,19680702,-9999,    9
  4970,132736,19680703,-9999,    9
  4970,132736,19680704,-9999,    9
  4970,132736,19680705,-9999,    9
  4970,132736,19680706,-9999,    9
  4970,132736,19680707,-9999,    9
  4970,132736,19680708,-9999,    9
  4970,132736,19680709,-9999,    9
  4970,132736,19680710,-9999,    9
  4970,132736,19680711,-9999,    9
  4970,132736,19680712,-9999,    9
  4970,132736,19680713,-9999,    9
