EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132727) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   CC, Q_CC
  4970,132727,19610613,    8,    0
  4970,132727,19610614,    5,    0
  4970,132727,19610615,    3,    0
  4970,132727,19610616,    4,    0
  4970,132727,19610617,    7,    0
  4970,132727,19610618,    3,    0
  4970,132727,19610619,    5,    0
  4970,132727,19610620,    1,    0
  4970,132727,19610621,    1,    0
  4970,132727,19610622,    2,    0
  4970,132727,19610623,    2,    0
  4970,132727,19610624,    2,    0
  4970,132727,19610625,    4,    0
  4970,132727,19610626,    6,    0
  4970,132727,19610627,    5,    0
  4970,132727,19610628,    3,    0
  4970,132727,19610629,    2,    0
  4970,132727,19610630,    0,    0
  4970,132727,19610701,    0,    0
  4970,132727,19610702,    1,    0
  4970,132727,19610703,    3,    0
  4970,132727,19610704,    6,    0
  4970,132727,19610705,    6,    0
  4970,132727,19610706,    3,    0
  4970,132727,19610707,    6,    0
  4970,132727,19610708,    8,    0
  4970,132727,19610709,    7,    0
  4970,132727,19610710,    6,    0
  4970,132727,19610711,    4,    0
  4970,132727,19610712,    4,    0
  4970,132727,19610713,    7,    0
  4970,132727,19610714,    7,    0
  4970,132727,19610715,    6,    0
  4970,132727,19610716,    8,    0
  4970,132727,19610717,    8,    0
  4970,132727,19610718,    7,    0
  4970,132727,19610719,    7,    0
  4970,132727,19610720,    7,    0
  4970,132727,19610721,    2,    0
  4970,132727,19610722,    7,    0
  4970,132727,19610723,    6,    0
  4970,132727,19610724,    3,    0
  4970,132727,19610725,    2,    0
  4970,132727,19610726,    3,    0
  4970,132727,19610727,    8,    0
  4970,132727,19610728,    7,    0
  4970,132727,19610729,    7,    0
  4970,132727,19610730,    7,    0
  4970,132727,19610731,    2,    0
  4970,132727,19610801,    2,    0
  4970,132727,19610802,    5,    0
  4970,132727,19610803,    7,    0
  4970,132727,19610804,    4,    0
  4970,132727,19610805,    3,    0
